config,seed,test_accuracy,train_accuracy,next_step_cosine_markov,next_step_cosine_classification,final_jepa_loss
P2-D-ZeroShot,42,0.5766666666666667,0.5866666666666667,0.35004585160457413,0.4702353221975057,18.235573865359104
P2-D-ZeroShot,43,0.64,0.675,0.3249682237449805,0.41272242100658574,16.766616237598132
P2-D-ZeroShot,44,0.5666666666666667,0.575,0.29571033723531825,0.45156511566958757,17.38568065615458
P2-D-ZeroShot,45,0.57,0.615,0.29181419324079416,0.4291639553036933,16.925384039030035
P2-D-ZeroShot,46,0.5333333333333333,0.5583333333333333,0.3003848815029627,0.42749710431948046,17.128695003730233
P2-D-Trained,42,0.6766666666666666,0.71,0.3212197226025066,0.2936320218374332,4.486386229645486
P2-D-Trained,43,0.6333333333333333,0.7183333333333334,0.3171066135180109,0.2488813874113877,3.5760967535026005
P2-D-Trained,44,0.6866666666666666,0.7233333333333334,0.26147872248472603,0.2594558440198894,3.5213755881227855
P2-D-Trained,45,0.6233333333333333,0.7166666666666667,0.24154532072702872,0.29223005312674727,4.226627727500298
P2-D-Trained,46,0.6466666666666666,0.7033333333333334,0.29113653524380023,0.262814768212585,3.686338697918268
P2-D-Untrained,42,0.5666666666666667,0.59,0.3490329591694956,0.4672229044605054,18.354294740086356
P2-D-Untrained,43,0.62,0.6833333333333333,0.3080781120164462,0.39665189195713385,17.186183437927944
P2-D-Untrained,44,0.5533333333333333,0.6016666666666667,0.2722555022992585,0.45362180856751405,17.17015905182303
P2-D-Untrained,45,0.56,0.605,0.2977103763176405,0.4158556421130436,17.15487857745569
P2-D-Untrained,46,0.6266666666666667,0.655,0.3019661605041301,0.42916831778027914,17.42088526956615
