encoder_id,seed,spearman_rho,p_value,sparsity,train_time_sec,final_loss,n_codes,dim_out,status
p0-a,42,nan,nan,0.875,0.0,0.0,8,8,ok
p0-a,43,nan,nan,0.875,0.0,0.0,8,8,ok
p0-a,44,nan,nan,0.875,0.0,0.0,8,8,ok
p0-a,45,nan,nan,0.875,0.0,0.0,8,8,ok
p0-a,46,nan,nan,0.875,0.0,0.0,8,8,ok
p0-b,42,0.6272739400218466,0.0003535505274574789,0.6875,0.34458017349243164,0.0,8,16,ok
p0-b,43,0.5637525283740648,0.0017829076410642336,0.6875,0.3433849811553955,0.0,8,16,ok
p0-b,44,0.45509797952703834,0.014958780318125336,0.6875,0.33834147453308105,0.0,8,16,ok
p0-b,45,0.5626762776412704,0.0018274337138026002,0.6875,0.3419516086578369,0.0,8,16,ok
p0-b,46,0.6945292079305901,4.125320553177895e-05,0.6875,0.34136962890625,0.0,8,16,ok
p0-c,42,0.8643779513840563,3.0598491044317724e-09,0.0,0.23504900932312012,0.0,8,16,ok
p0-c,43,0.876316873364499,9.909635843168367e-10,0.0,0.23790264129638672,0.0,8,16,ok
p0-c,44,0.8954191485332075,1.2518122857929595e-10,0.0,0.23622989654541016,0.0,8,16,ok
p0-c,45,0.9073580705136502,2.7755266092064624e-11,0.0,0.23739242553710938,0.0,8,16,ok
p0-c,46,0.8619901669879677,3.7852383895837475e-09,0.0,0.23941540718078613,0.0,8,16,ok
p0-d,42,0.7020086124500345,3.135442955017541e-05,0.6015625,0.010550737380981445,0.0006424145689713324,8,16,ok
p0-d,43,0.5229247827433932,0.0043019818888128504,0.7265625,0.0092620849609375,0.0004654258334607814,8,16,ok
p0-d,44,0.7234986720148316,1.3584972782266882e-05,0.75,0.01085972785949707,0.0007891755965357648,8,16,ok
p0-d,45,0.5277003515355703,0.003902426529801393,0.6953125,0.010872602462768555,0.0006961278633160322,8,16,ok
p0-d,46,0.6101624113072507,0.0005654589772441454,0.578125,0.011952400207519531,0.0006139216213548463,8,16,ok
p0-e,42,0.6829063372813262,6.220409422713928e-05,0.546875,0.5545616149902344,0.0013021233719634666,8,16,ok
p0-e,43,0.7402131627874515,6.710468428233236e-06,0.515625,0.5523374080657959,0.0008844068726020717,8,16,ok
p0-e,44,0.7449887315796286,5.432528154815292e-06,0.3984375,0.559917688369751,0.0005615320812676816,8,16,ok
p0-e,45,0.7020086124500345,3.135442955017541e-05,0.6171875,0.5478501319885254,0.00208150678072915,8,16,ok
p0-e,46,0.7402131627874515,6.710468428233236e-06,0.5234375,0.548926591873169,0.0006188610620835639,8,16,ok
