variant,seed,train_acc,test_acc,final_spatial_jepa_loss,final_temporal_jepa_loss,training_time_sec,class_0_acc,class_1_acc,class_2_acc,class_3_acc
P3-A,42,0.431,0.42625,17.690357054856687,10.741996678394868,33.78898811340332,0.645,0.15,0.2,0.71
P3-B,42,0.486,0.5075,18.297479533107456,12.423114245269895,16.22846555709839,0.78,0.315,0.2,0.735
P3-C,42,0.419,0.445,18.20317459532106,13.447448299574788,16.362329959869385,0.7,0.195,0.17,0.715
Untrained,42,0.4515,0.495,21.640702622018367,21.06136653125087,13.213347911834717,0.63,0.65,0.01,0.69
